[2025-01-15 17:28:47.379731] Active jobs: 4, Completed: 1
[2025-01-15 17:28:49.276705] Active jobs: 3, Completed: 2
[2025-01-15 17:28:50.986744] Active jobs: 2, Completed: 3
[2025-01-15 17:28:52.141391] Active jobs: 1, Completed: 4
[2025-01-15 17:28:52.896951] Active jobs: 0, Completed: 5
[2025-01-15 17:29:14.396832] Active jobs: 4, Completed: 1
[2025-01-15 17:29:17.700359] Active jobs: 3, Completed: 2
[2025-01-15 17:29:17.924076] Active jobs: 2, Completed: 3
[2025-01-15 17:29:18.534200] Active jobs: 1, Completed: 4
[2025-01-15 17:29:19.638041] Active jobs: 0, Completed: 5
[2025-01-15 17:29:39.025071] Active jobs: 4, Completed: 1
[2025-01-15 17:29:44.216848] Active jobs: 3, Completed: 2
[2025-01-15 17:29:44.406459] Active jobs: 2, Completed: 3
[2025-01-15 17:29:44.919076] Active jobs: 1, Completed: 4
[2025-01-15 17:29:45.938593] Active jobs: 0, Completed: 5
[2025-01-15 17:30:07.883196] Active jobs: 4, Completed: 1
[2025-01-15 17:30:09.525450] Active jobs: 3, Completed: 2
[2025-01-15 17:30:09.770460] Active jobs: 2, Completed: 3
[2025-01-15 17:30:10.854504] Active jobs: 1, Completed: 4
[2025-01-15 17:30:12.095812] Active jobs: 0, Completed: 5
[2025-01-15 17:30:33.328364] Active jobs: 4, Completed: 1
[2025-01-15 17:30:37.041671] Active jobs: 3, Completed: 2
[2025-01-15 17:30:37.183090] Active jobs: 2, Completed: 3
[2025-01-15 17:30:37.376667] Active jobs: 1, Completed: 4
[2025-01-15 17:30:38.730102] Active jobs: 0, Completed: 5
[2025-01-15 17:30:58.663710] Active jobs: 4, Completed: 1
[2025-01-15 17:31:02.780261] Active jobs: 3, Completed: 2
[2025-01-15 17:31:04.090846] Active jobs: 2, Completed: 3
[2025-01-15 17:31:04.278612] Active jobs: 1, Completed: 4
[2025-01-15 17:31:05.037939] Active jobs: 0, Completed: 5
[2025-01-15 17:31:24.442388] Active jobs: 4, Completed: 1
[2025-01-15 17:31:29.802385] Active jobs: 3, Completed: 2
[2025-01-15 17:31:30.297482] Active jobs: 2, Completed: 3
[2025-01-15 17:31:30.782812] Active jobs: 1, Completed: 4
[2025-01-15 17:31:31.671926] Active jobs: 0, Completed: 5
[2025-01-15 17:31:53.296883] Active jobs: 4, Completed: 1
[2025-01-15 17:31:56.649273] Active jobs: 3, Completed: 2
[2025-01-15 17:31:56.758886] Active jobs: 2, Completed: 3
[2025-01-15 17:31:57.042472] Active jobs: 1, Completed: 4
[2025-01-15 17:31:58.239861] Active jobs: 0, Completed: 5
[2025-01-15 17:32:19.793634] Active jobs: 4, Completed: 1
[2025-01-15 17:32:21.596575] Active jobs: 3, Completed: 2
[2025-01-15 17:32:21.707776] Active jobs: 2, Completed: 3
[2025-01-15 17:32:22.901405] Active jobs: 1, Completed: 4
[2025-01-15 17:32:24.295272] Active jobs: 0, Completed: 5
[2025-01-15 17:32:44.140869] Active jobs: 4, Completed: 1
[2025-01-15 17:32:47.378411] Active jobs: 3, Completed: 2
[2025-01-15 17:32:48.855703] Active jobs: 2, Completed: 3
[2025-01-15 17:32:49.903073] Active jobs: 1, Completed: 4
[2025-01-15 17:32:50.640342] Active jobs: 0, Completed: 5
[2025-01-15 17:33:11.851775] Active jobs: 4, Completed: 1
[2025-01-15 17:33:13.810600] Active jobs: 3, Completed: 2
[2025-01-15 17:33:15.258430] Active jobs: 2, Completed: 3
[2025-01-15 17:33:15.760728] Active jobs: 1, Completed: 4
[2025-01-15 17:33:16.966068] Active jobs: 0, Completed: 5
[2025-01-15 17:33:39.870786] Active jobs: 4, Completed: 1
[2025-01-15 17:33:40.051831] Active jobs: 3, Completed: 2
[2025-01-15 17:33:40.525531] Active jobs: 2, Completed: 3
[2025-01-15 17:33:42.176775] Active jobs: 1, Completed: 4
[2025-01-15 17:33:43.181434] Active jobs: 0, Completed: 5
[2025-01-15 17:34:02.607620] Active jobs: 4, Completed: 1
[2025-01-15 17:34:06.676276] Active jobs: 3, Completed: 2
[2025-01-15 17:34:09.036204] Active jobs: 2, Completed: 3
[2025-01-15 17:34:09.445305] Active jobs: 1, Completed: 4
[2025-01-15 17:34:09.882934] Active jobs: 0, Completed: 5
[2025-01-15 17:34:28.127279] Active jobs: 4, Completed: 1
[2025-01-15 17:34:32.511038] Active jobs: 3, Completed: 2
[2025-01-15 17:34:35.957821] Active jobs: 2, Completed: 3
[2025-01-15 17:34:36.120467] Active jobs: 1, Completed: 4
[2025-01-15 17:34:36.405117] Active jobs: 0, Completed: 5
[2025-01-15 17:34:56.906272] Active jobs: 4, Completed: 1
[2025-01-15 17:34:59.520974] Active jobs: 3, Completed: 2
[2025-01-15 17:35:01.373059] Active jobs: 2, Completed: 3
[2025-01-15 17:35:02.011738] Active jobs: 1, Completed: 4
[2025-01-15 17:35:02.771844] Active jobs: 0, Completed: 5
[2025-01-15 17:35:22.884667] Active jobs: 4, Completed: 1
[2025-01-15 17:35:26.393814] Active jobs: 3, Completed: 2
[2025-01-15 17:35:27.510449] Active jobs: 2, Completed: 3
[2025-01-15 17:35:27.670335] Active jobs: 1, Completed: 4
[2025-01-15 17:35:28.727514] Active jobs: 0, Completed: 5
[2025-01-15 17:35:50.356533] Active jobs: 4, Completed: 1
[2025-01-15 17:35:52.331744] Active jobs: 3, Completed: 2
[2025-01-15 17:35:52.666171] Active jobs: 2, Completed: 3
[2025-01-15 17:35:53.314826] Active jobs: 1, Completed: 4
[2025-01-15 17:35:54.641996] Active jobs: 0, Completed: 5
[2025-01-15 17:36:15.808987] Active jobs: 4, Completed: 1
[2025-01-15 17:36:19.399399] Active jobs: 3, Completed: 2
[2025-01-15 17:36:20.043187] Active jobs: 2, Completed: 3
[2025-01-15 17:36:20.236368] Active jobs: 1, Completed: 4
[2025-01-15 17:36:21.402469] Active jobs: 0, Completed: 5
[2025-01-15 17:36:42.009842] Active jobs: 4, Completed: 1
[2025-01-15 17:36:45.800469] Active jobs: 3, Completed: 2
[2025-01-15 17:36:46.967853] Active jobs: 2, Completed: 3
[2025-01-15 17:36:47.119551] Active jobs: 1, Completed: 4
[2025-01-15 17:36:48.358853] Active jobs: 0, Completed: 5
[2025-01-15 17:37:07.880920] Active jobs: 4, Completed: 1
[2025-01-15 17:37:13.563992] Active jobs: 3, Completed: 2
[2025-01-15 17:37:13.708621] Active jobs: 2, Completed: 3
[2025-01-15 17:37:14.128271] Active jobs: 1, Completed: 4
[2025-01-15 17:37:15.067227] Active jobs: 0, Completed: 5
[2025-01-15 17:37:36.771504] Active jobs: 4, Completed: 1
[2025-01-15 17:37:39.576207] Active jobs: 3, Completed: 2
[2025-01-15 17:37:39.862818] Active jobs: 2, Completed: 3
[2025-01-15 17:37:40.172142] Active jobs: 1, Completed: 4
[2025-01-15 17:37:41.441697] Active jobs: 0, Completed: 5
[2025-01-15 17:37:59.605560] Active jobs: 4, Completed: 1
[2025-01-15 17:38:05.723568] Active jobs: 3, Completed: 2
[2025-01-15 17:38:06.617276] Active jobs: 2, Completed: 3
[2025-01-15 17:38:06.786517] Active jobs: 1, Completed: 4
[2025-01-15 17:38:07.673493] Active jobs: 0, Completed: 5
[2025-01-15 17:38:26.523603] Active jobs: 4, Completed: 1
[2025-01-15 17:38:30.144735] Active jobs: 3, Completed: 2
[2025-01-15 17:38:32.830049] Active jobs: 2, Completed: 3
[2025-01-15 17:38:33.050622] Active jobs: 1, Completed: 4
[2025-01-15 17:38:33.807830] Active jobs: 0, Completed: 5
[2025-01-15 17:38:53.240678] Active jobs: 4, Completed: 1
[2025-01-15 17:38:56.613216] Active jobs: 3, Completed: 2
[2025-01-15 17:38:59.089779] Active jobs: 2, Completed: 3
[2025-01-15 17:38:59.806528] Active jobs: 1, Completed: 4
[2025-01-15 17:39:00.179139] Active jobs: 0, Completed: 5
[2025-01-15 17:39:21.011260] Active jobs: 4, Completed: 1
[2025-01-15 17:39:23.772736] Active jobs: 3, Completed: 2
[2025-01-15 17:39:24.212960] Active jobs: 2, Completed: 3
